City name,Airport Code,Airport Name,Country name
Mt Clemens,MTC,Selfridge ANGB International Airport,United States
Mt Mckinley,MCL,Mt Mckinley International Airport,United States
Mt Pleasant,MPZ,Municipal International Airport,United States
Mt Pleasant,MSD,Mt Pleasant International Airport,United States
Mt Pocono,MPO,Mt Pocono International Airport,United States
Mt Sandford,MTD,Mt Sandford International Airport,Australia
Mt Vernon,MVN,Mt Vernon-Outland International Airport,United States
Mtwara,MYW,Mtwara International Airport,Tanzania
Muccan,MUQ,Muccan International Airport,Australia
Mucuri,MVS,Aeroporto Max Feffer International Airport,Brazil
Mudanjiang,MDG,Mudanjiang International Airport,China
Mudgee,DGE,Mudgee International Airport,Australia
Mueda,MUD,Mueda International Airport,Mozambique
Muenster,FMO,Muenster International Airport,Germany
Mueo,PDC,Mueo International Airport,New Caledonia
Muharraq,GBQ,Muharraq International Airport,Bahrain
Mui,MUJ,Mui International Airport,Ethiopia
Mukah,MKM,Mukah International Airport,Malaysia
Mukalla,MKX,Mukalla International Airport,Yemen
Mukeiras,UKR,Mukeiras International Airport,Yemen
Muko-Muko,MPC,Muko-Muko International Airport,Indonesia
Mulatos,ULS,Mulatos International Airport,Colombia
Mulatupo,MPP,Mulatupo International Airport,Panama
Mulege,MUG,Mulege International Airport,Mexico
Mulga Park,MUP,Mulga Park International Airport,Australia
Basel Mulhouse Freiburg,MLH,Euroairport International Airport,France
Mulhouse/Basel,BSL,EuroAirport Swiss CH International Airport,Switzerland
Mulia,LII,Mulia International Airport,Indonesia
Mulka,MVK,Mulka International Airport,Australia
Mull,ULL,Mull International Airport,United Kingdom
Mullen,MHN,Mullen International Airport,United States
Mullewa,MXU,Mullewa International Airport,Australia
Multan,MUX,Multan International Airport,Pakistan
Mulu,MZV,Mulu International Airport,Malaysia
Mumbai,BOM,Chhatrapati Shivaji International Airport,India
Mumias,MUM,Mumias International Airport,Kenya
Munbil,LNF,Munbil International Airport,Papua New Guinea
Muncie,MIE,Delaware County International Airport,United States
Munda,MUA,Munda International Airport,Solomon Islands
Munduku,MDM,Munduku International Airport,Papua New Guinea
Mundulkiri,MWV,Mundulkiri International Airport,Cambodia
Mungeranie,MNE,Mungeranie International Airport,Australia
Augsburg,AGB,Augsburg - Muehlhausen International Airport,Germany
Munich,MUC,Franz Josef Strauss International Airport,Germany
Muong Sai,UON,Muong Sai International Airport,Laos
Murcia,MJV,San Javier International Airport,Spain
Murmansk,MMK,Murmansk International Airport,Russian Federation
Murray,CEY,Calloway County International Airport,United States
Murray Bay,YML,Charlevoix International Airport,Canada
Murray Island,MYI,Murray Island International Airport,Australia
Murzuq,QMQ,Murzuq International Airport,Libya
Mus,MSR,Mus International Airport,Turkey
Muscat,MCT,Seeb International Airport,Oman
Muscatine,MUT,Muscatine International Airport,United States
Musgrave,MVU,Musgrave International Airport,Australia
Musha,MHI,Musha International Airport,Djibouti
Muskegon,MKG,Muskegon International Airport,United States
Muskogee,MKO,Davis Field International Airport,United States
Muskogee,HAX,Hatbox Field International Airport,United States
Muskoka,YQA,Muskoka International Airport,Canada
Muskrat Dam,MSA,Muskrat Dam International Airport,Canada
Musoma,MUZ,Musoma International Airport,Tanzania
Mussau,MWU,Mussau International Airport,Papua New Guinea
Mustique Island,MQS,Mustique International Airport,Saint Vincent and the Grenadines
Mutare,UTA,Mutare International Airport,Zimbabwe
Muting,MUF,Muting International Airport,Indonesia
Muttaburra,UTB,Muttaburra International Airport,Australia
Muzaffarabad,MFG,Muzaffarabad International Airport,Pakistan
Muzaffarnagar,MZA,Muzaffarnagar International Airport,India
Muzaffarpur,MZU,Muzaffarpur International Airport,India
Mvuu Camp,VUU,Mvuu Camp International Airport,Malawi
Mwadui,MWN,Mwadui International Airport,Tanzania
Mwanza,MWZ,Mwanza International Airport,Tanzania
Mweka,MEW,Mweka International Airport,Zaire
Myeik,MGZ,Myeik International Airport,Myanmar
Myitkyina,MYT,Myitkyina International Airport,Myanmar
Myroodah,MYO,Myroodah International Airport,Australia
Myrtle Beach,CRE,Grand Strand Airport,United States
Myrtle Beach,MYR,Myrtle Beach AFB International Airport,United States
Mysore,MYQ,Mysore International Airport,India
Mytilene,MJT,Mytilene International Airport,Greece
Myvatn,MVA,Reykiahlid International Airport,Iceland
Mzamba(Wild Coast Sun),MZF,Mzamba(Wild Coast Sun) International Airport,South Africa
Mzuzu,ZZU,Mzuzu International Airport,Malawi
N. Sound/Virgin Gorda,NSX,Hovercraft/Launch Pt International Airport,Virgin Islands (British)
Naberevnye Chelny,NBC,Naberevnye Chelny International Airport,Russian Federation
Nabire,NBX,Nabire International Airport,Indonesia
Nacala,MNC,Nacala International Airport,Mozambique
Nachingwea,NCH,Nachingwea International Airport,Tanzania
Nacogdoches,OCH,Nacogdoches International Airport,United States
Nacogdoches,LFK,Lufkin Angelina County International Airport,United States
Nador,NDR,Nador International Airport,Morocco
Nadunumu,NDN,Nadunumu International Airport,Papua New Guinea
Nadym,NYM,Nadym International Airport,Russian Federation
Nafoora,NFR,Nafoora International Airport,Libya
Naga,WNP,Naga International Airport,Philippines
Nagasaki,NGS,Nagasaki International Airport,Japan
Nagoya,NKM,Komaki AFB International Airport,Japan
Nagpur,NAG,Sonegaon International Airport,India
Naha,NAH,Naha International Airport,Indonesia
Nain,YDP,Nain International Airport,Canada
Nairobi,NBO,Jomo Kenyatta International,Kenya
Nairobi,WIL,Wilson International Airport,Kenya
Nakashibetsu,SHB,Nakashibetsu International Airport,Japan
Nakhichevan,NAJ,Nakhichevan International Airport,Azerbaijan
Nakhon Phanom,KOP,Nakhon Phanom International Airport,Thailand
Nakhon Ratchasima,NAK,Nakhon Ratchasima International Airport,Thailand
Nakhon Si Thammarat,NST,Nakhon Si Thammarat International Airport,Thailand
Nakina,YQN,Nakina International Airport,Canada
Naknek,NNK,Naknek International Airport,United States
Nakolik River,NOL,Nakolik River International Airport,United States
Nakuru,NUU,Nakuru International Airport,Kenya
Nalchik,NAL,Nalchik International Airport,Russian Federation
Namangan,NMA,Namangan International Airport,Uzbekistan
Namatanai,ATN,Namatanai International Airport,Papua New Guinea
Nambaiyufa,NBA,Nambaiyufa International Airport,Papua New Guinea
Nambour,NBR,Nambour International Airport,Australia
Nambucca Heads,NBH,Nambucca Heads International Airport,Australia
Namdrik Island,NDK,Namdrik Island International Airport,Marshall Islands
Namibe,MSZ,Namibe International Airport,Angola
Namlea,NAM,Namlea International Airport,Indonesia
Nampula,APL,Nampula International Airport,Mozambique
Namrole,NRE,Namrole International Airport,Indonesia
Namsang,NMS,Namsang International Airport,Myanmar
Namsos,OSY,Namsos International Airport,Norway
Namtu,NMT,Namtu International Airport,Myanmar
Namu,ZNU,Namu International Airport,Canada
Namu,NMU,Namu International Airport,Marshall Islands
Namudi,NDI,Namudi International Airport,Papua New Guinea
Nan,NNT,Nan International Airport,Thailand
Nanaimo,ZNA,Harbour International Airport,Canada
